Index,Title,Category,New Category,Reference Number,Maker/Artist,Materials,Measurements,Time Period,FINAL,Additional Information,Image Link
103,Coin Depicting Figure with Halo Standing in Oval Shape,Coins and Paper Money,,1049,,,Diameter,,,coin; man; halo; stars,https://artcrimes.fbi.gov/nsaf/coin-depicting-figure-with-halo-standing-in-oval-shape/HaloCoin.gif/@@images/image/thumb
104,Adirondaks,Paintings,Physical Art,789,Elaine Kurie,Oil on canvas,32 x 40 in,1996,1996,painting; exterior; realism; hills; water; river; lake; chair; pillow; signed faintly lower right,https://artcrimes.fbi.gov/nsaf/adirondaks/Adirondacks.gif/@@images/image/thumb
105,L'Atelier,Paintings,Physical Art,8,Pablo Picasso,Oil on canvas,38.5 x 31.5 in,circa 1953,1953,painting; modern art; room; chair; window; signed,
106,Prelude I,Print,Physical Art,776,Engtay,,19 x 23 in,1998,1998,etching; man; woman; reclining; number 2/175,https://artcrimes.fbi.gov/nsaf/prelude-i/Prelude1.gif/@@images/image/thumb
107,Astronomy,Sculpture,Figures,953,Heinz Warneke,Plaster metal,7 x 9 in,Circa 1951,1951,sculpture; planets; galaxy; star; no signature,https://artcrimes.fbi.gov/nsaf/astronomy/Astronomy.gif/@@images/image/thumb
108,Unfinished Marble Bust,Sculpture,Figures,437,Nathaniel Choate,Unfinished marble,"approximately 15"" x 7""; 25 lbs",Circa 1930s,1930,representation of a human head,https://artcrimes.fbi.gov/nsaf/unfinished-marble-bust/MarbleBust.gif/@@images/image/thumb
109,Rooster,Paintings,Physical Art,861,Chucho Reyes,Gouache on paper,25 x 19 in,,,painting; rooster,https://artcrimes.fbi.gov/nsaf/rooster/Rooster.jpg/@@images/image/thumb
110,Sophia Loren,Paintings,Physical Art,782,Ostor Glorig,Oil on canvas,44 x 38 in,1965-1969,1967,painting; portrait; woman; signed Ostor Glorig on lower left; hand carved dark wood frame,https://artcrimes.fbi.gov/nsaf/sophia-loren/SophiaLoren.jpg/@@images/image/thumb
111,Dacian Parade Iron Shield,Other - Assorted,Miscellaneous,478,Dacian,Iron,Diameter,1st c. BC to 2nd c. AD,50,,https://artcrimes.fbi.gov/nsaf/dacian-parade-iron-shield/DacianParadeShieldBoss1.gif/@@images/image/thumb
112,Moonstone,"drawing,watercolour",Physical Art,964,Judith M. Craig,Pencil on paper,11 x 13 in,1972,1972,"drawing; signed lower right ""Moonstone, April 1972""",https://artcrimes.fbi.gov/nsaf/moonstone/Moonstone.gif/@@images/image/thumb
113,Folding Needlepoint Worked Needle Case,"other,assorted",Miscellaneous,855,,Needlepoint; cloth; silk,3.50 x 2.5 in,1864,1864,needle case; sewing; church; flower,https://artcrimes.fbi.gov/nsaf/folding-needlepoint-worked-needle-case/NeedleCase.gif/@@images/image/thumb
114,Des imagistes: an anthology,Cross,Relgion,895,,Printed paper book,Height,Copyright 1983,1983,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/des-imagistes-an-anthology/seal-fbi.jpg/@@images/image/thumb
115,History of the Colony of Massachusetts Bay,Books,Physical Art,895,Thomas Hutchinson,Printed paper,,,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/history-of-the-colony-of-massachusetts-bay/seal-fbi.jpg/@@images/image/thumb
116,Bottle Pumpkin from Perfect World,Sculpture,Figures,800,Jason Rhoades,"Gourd, backpack, photography, cardboard",15.75 x 14.5 x 14.5 in,2000,2000,signed and numbered; 26/70,https://artcrimes.fbi.gov/nsaf/bottle-pumpkin-from-perfect-world/BottlePumpkinPerfectWorld.jpg/@@images/image/thumb
117,"Park Scene, Paris",Paintings,Physical Art,300,Lucien Frank,Oil on carton,12.5 x 9 in,Birth/Death Dates,,"painting; Paris, France; street scene; signed lower right",https://artcrimes.fbi.gov/nsaf/park-scene-paris/ParkScene.gif/@@images/image/thumb
118,Ancient Romanian Cup,Ceramic Tea and Coffee Wares,Containers,393,,Carved,6.00 cm,20th Century,1971,Cup,https://artcrimes.fbi.gov/nsaf/ancient-romanian-cup/AncientRomanianCup.gif/@@images/image/thumb
119,The Thurber Album; a new collection of pieces about people,Books,Physical Art,895,James Thurber,Printed paper book,Length,Copyright,,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/the-thurber-album-a-new-collection-of-pieces-about-people/seal-fbi.jpg/@@images/image/thumb
120,Dazzle,Paintings,Physical Art,964,Kazudo Niwa,Oil on canvas,,1900-1965,1933,painting; abstract art,https://artcrimes.fbi.gov/nsaf/dazzle/Dazzle.gif/@@images/image/thumb
121,Tic-Tac Game,Paintings,Physical Art,6,Alexander Calder,Gouache,73.12 x 107.25 cm,1967,1967,painting; abstract art; red; orange; black; signed and dated lower right,https://artcrimes.fbi.gov/nsaf/tic-tac-game/TicTac.gif/@@images/image/thumb
122,"Snail Brooch, Red Tourmaline and Diamond",Brooches and Pins,Accessories,911,Zadora Limited,Tourmaline; diamond,,20th Century,1995,"brooch; snail; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/snail-brooch-red-tourmaline-and-diamond/seal-fbi.jpg/@@images/image/thumb
123,St. Claude,Paintings,Physical Art,819,Gaspar de Crayer,Oil on copper,10.75 x 4 in,16th-17th Century,1594,Painting; Religious; Unsinged. Verso,https://artcrimes.fbi.gov/nsaf/st-claude/StClaude.jpg/@@images/image/thumb
124,Umbrellas,Print,Physical Art,779,Gary Ratushiniak,Color linocut,,1996,1996,,https://artcrimes.fbi.gov/nsaf/umbrellas/Umbrellas.jpg/@@images/image/thumb
125,Montmarte,Paintings,Physical Art,26,Elisee Maclet,Oil on canvas,19 x 23 3/8 in,20th Century,1981,painting; French; street; buildings; man; walking; trees; signed lower left,https://artcrimes.fbi.gov/nsaf/montmarte/Montmarte.gif/@@images/image/thumb
126,Spanish Colonial Crown,Other - Arts and Antiques,Miscellaneous,476,Spanish Colonial,Silver,,20th Century,1927,metalwork; crown,https://artcrimes.fbi.gov/nsaf/spanish-colonial-crown/Crown021894.jpg/@@images/image/thumb
127,"Vlaicu Ionescu, Still Life, Flowers, Mortar, Fruit",Paintings,Physical Art,374,Vlaicu Ionescu,Oil on canvas,,20th Century,1908,painting; modern art; still life; flowers; mortar; pestle; fruit; table,https://artcrimes.fbi.gov/nsaf/vlaicu-ionescu-still-life-flowers-mortar-fruit/StillLife.gif/@@images/image/thumb
128,Stone Carving of Three Eskimos,Sculpture,Figures,589,Inuit,Stone,10.5 in,,,carving; men; three; Eskimo; Inuit,
129,Santa Clara Rain Dancer,Sculpture,Figures,543,Michael Naranjo,Bronze,22 in,,,sculpture; Native American; man; horse; headdress; dancing; signed; #9/15,https://artcrimes.fbi.gov/nsaf/santa-clara-rain-dancer/RainDancer.gif/@@images/image/thumb
130,Tiffany Stained Glass Window with Blue Tree,Other - Arts and Antiques,Miscellaneous,1069,Tiffany,Stained glass,55.75 x 29.5 in,Early 20th Century,1937,"window; tree; stream; mountain; sunset; Lower right corner ""Tiffany Studios""",https://artcrimes.fbi.gov/nsaf/tiffany-stained-glass-window-with-blue-tree/BlueTreeWindow.gif/@@images/image/thumb
131,French Pasture,Paintings,Physical Art,1062,Leon Barillot,Oil on canvas,19.25 x 25.24 in,1844-1909,1877,painting; exterior; pasture; cattle; mill,https://artcrimes.fbi.gov/nsaf/french-pasture/FrenchPasture.gif/@@images/image/thumb
132,Still Life from College - CCAD,Paintings,Physical Art,1046,Max Moran,Oil on canvas,Approximately 22 x 22 inches,,,,https://artcrimes.fbi.gov/nsaf/still-life-from-college-ccad/01046_picture_8.jpg/@@images/image/thumb
133,Hon Kachina,Sculpture,Figures,206,Michael Redman,Gold; silver,,,,sculpture; Native American; figure,https://artcrimes.fbi.gov/nsaf/hon-kachina/HonKachina.gif/@@images/image/thumb
134,Double Satyr Bronze Clock,"clock,timepiece",Furniture,674,,Bronze,,,,,https://artcrimes.fbi.gov/nsaf/double-satyr-bronze-clock/DoubleSatyrBronzeClock.jpg/@@images/image/thumb
135,Belcher Engraved Bowl,Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,13.80 cm,600 AD,600,"pottery; engraved with slanted line motif, repeats four times, one horizontally incised line on interior at shoulder line; not cracked or chipped, no signs of use or wear",https://artcrimes.fbi.gov/nsaf/belcher-engraved-bowl-id-020720/BelcherBowl720.gif/@@images/image/thumb
136,Andrea with Crossed Arms on Pedestal,Paintings,Physical Art,1046,Max Moran,Oil on canvas,34 x 44 in,1981-1982,1982,Unfinished,https://artcrimes.fbi.gov/nsaf/andrea-with-crossed-arms-on-pedestal/AndreaCrossedArmsPedestal.gif/@@images/image/thumb
137,Water Wheel,Photographs,Physical Art,963,Paul Strand,,,,,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/water-wheel/seal-fbi.jpg/@@images/image/thumb
138,Children of the Trianon,Photographs,Physical Art,963,Michael Kenna,Photograph,,,,No Image Associated with this Item; Michael Kenna copyright and edition number on back,https://artcrimes.fbi.gov/nsaf/children-of-the-trianon/seal-fbi.jpg/@@images/image/thumb
139,A Classical Landscape with Two Figures,Paintings,Physical Art,954,Gaspard Dughet,Oil on canvas,51.00 x 69.00 cm,1615-1675,1645,painting; landscape; trees; road; people; walking,https://artcrimes.fbi.gov/nsaf/a-classical-landscape-with-two-figures/ClassicalLandscape.gif/@@images/image/thumb
140,Wilfredo Lam Three Abstract Doodles with Faces,"drawing,watercolour",Physical Art,861,Wilfredo Lam,Ink on paper,10.5 x 17.5 in,,,drawing,https://artcrimes.fbi.gov/nsaf/wilfredo-lam-three-abstract-doodles-with-faces/ThreeAbstractDoodlesFaces.jpg/@@images/image/thumb
141,Stone Carving of a Bird,Sculpture,Figures,589,Inuit,Stone,5 x 3 in,,,carving; bird,https://artcrimes.fbi.gov/nsaf/stone-carving-of-a-bird/Bird.gif/@@images/image/thumb
142,Sacre Coeur (Sacred Heart),Paintings,Physical Art,26,Elisee Maclet,Oil on canvas,24 x 18.5 in,20th Century,1957,painting; French; street; man; standing; buildings; trees; signed lower right,https://artcrimes.fbi.gov/nsaf/sacre-coeur-sacred-heart-1/SacreCoeur.gif/@@images/image/thumb
143,Abstract White Onyx Sculpture,Sculpture,Figures,565,Gloria Klar,Onyx,42 x 24 x 4 in,20th Century,1938,"sculpture; abstract art; white; signed ""Gloria K""",https://artcrimes.fbi.gov/nsaf/abstract-white-onyx-sculpture/DiscoloredOnyx.gif/@@images/image/thumb
144,Human Face Pendant,"other,jewelry",Accessories,461,Akan,Gold,5.50 x 5.20 cm,1600-1800,1700,jewelry,https://artcrimes.fbi.gov/nsaf/human-face-pendant-id-021636/HumanFacePendant021636.jpg/@@images/image/thumb
145,Hopi Style #6 - Lunge,Wine Cooler,Furniture,1139,Sadie Adams,Ceramic pot,Height,,,,https://artcrimes.fbi.gov/nsaf/hopi-style-6-lunge/01139_picture_21.jpg/@@images/image/thumb
146,Pre-Columbian Stone Mallet Head,Other - Arts and Antiques,Miscellaneous,689,Pre-Columbian,Stone,,,,mallet head; Pre-Columbian,https://artcrimes.fbi.gov/nsaf/pre-columbian-stone-mallet-head/seal-fbi.jpg/@@images/image/thumb
147,Congreso por la Paz,Print,Physical Art,861,A. Garcia-Bustos,Lithograph,20 x 26 in,,,print; political cartoon; signed,https://artcrimes.fbi.gov/nsaf/congreso-por-la-paz/CongresoPaz.jpg/@@images/image/thumb
148,Faces in the Hood Series,Paintings,Physical Art,873,Tyree Guyton,Metal; paint; automobile; hood,48 x 48 in,1990s,1990,painting; face; modern art; small ID on back,https://artcrimes.fbi.gov/nsaf/faces-in-the-hood-series-id-012355/Hood4.gif/@@images/image/thumb
149,The Rainy Season at Kurokuni Hill,Print,Physical Art,964,Kusamato Shiro,Woodblock,14.5 x 9.5 in,1900-1957,1929,print; Japanese characters upper to lower right side,https://artcrimes.fbi.gov/nsaf/the-rainy-season-at-kurokuni-hill/seal-fbi.jpg/@@images/image/thumb
150,Eagle and Rabbit,Sculpture,Figures,452,Jack Erickson,Bronze,16 in,,,sculpture; eagle; flying; rabbit; #4/15,https://artcrimes.fbi.gov/nsaf/eagle-and-rabbit/EagleRabbit.gif/@@images/image/thumb
151,Human Face Pendant,"other,jewelry",Accessories,461,Akan,Gold,,1600-1800 A.D.,1600,jewelry; human face,https://artcrimes.fbi.gov/nsaf/human-face-pendant-id-021582/HumanFacePendant021582.jpg/@@images/image/thumb
152,The Mirror,Print,Physical Art,323,Erte,Serigraph,,20th Century,1932,print; woman; standing; gown; mirror; reflection; XXIV/CL,https://artcrimes.fbi.gov/nsaf/the-mirror/TheMirror.gif/@@images/image/thumb
153,Nakoma and Nakomis,Sculpture,Figures,754,Frank Lloyd Wright,Bronze,17.5 in and 12 in,,,sculpture; Native American; Square at base inscribed FLLW; edition numbers 99A (Nakoma) and 99B (Nakomis) appear on bottom,https://artcrimes.fbi.gov/nsaf/nakoma-and-nakomis/NakomaAndNakomis.gif/@@images/image/thumb
154,God Bless America I Detail Ver. II #5,Paintings,Physical Art,702,Peter Max,Mixed media painting with acrylic and color giclee on canvas.,"12"" x 6""",2008,2008,Registration no. 242234.0000,https://artcrimes.fbi.gov/nsaf/god-bless-america-i-detail-ver-ii-5/GodBlessAmericaDetailVerII5.gif/@@images/image/thumb
155,Happy Valley,Paintings,Physical Art,953,Jade Fon,Watercolor,16 x 21.5 in,1940,1940,"painting; Signed ""Jade Fon"" in lower left; lower left verso in pencil ""Happy Valley, Jade Fon, Los Angeles""; Label lower right on verso reads",https://artcrimes.fbi.gov/nsaf/happy-valley/seal-fbi.jpg/@@images/image/thumb
156,Tobia Scarpa Ochi Vase,Vase,Containers,881,Venini & Co.; Murano,Glass,8 in,,,vase,https://artcrimes.fbi.gov/nsaf/tobia-scarpa-ochi-vase/ScarpaOchi.gif/@@images/image/thumb
157,Stradivarius Violin,Other - Musical Instruments,Instruments,114,Antonio Stradivarius,,23 x 9 inches,1714,1714,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/stradivarius-violin/seal-fbi.jpg/@@images/image/thumb
158,Dragon chair,Mirror,Furniture,734,,Rosewood; hand carved with two carved ivory eyes,34 x 32 in; Diameter,Meiji Period,,"Barrel back of the chair is hand crafted of one piece of solid rosewood, darkened by natural aging; Antique Japanese dragon chair",https://artcrimes.fbi.gov/nsaf/dragon-chair/00734_picture_7.jpg/@@images/image/thumb
159,On the Coast - North Africa,Print,Physical Art,1032,Ynez Johnston,Woodcut,13.75 x 27 in,1962,1962,print; abstract art; red; black; purple; blue; yellow; signed and dated; number 2/5,https://artcrimes.fbi.gov/nsaf/on-the-coast-north-africa/OnTheCoast.gif/@@images/image/thumb
160,The Fall of the Magicians,Books,Physical Art,895,Weldon Kees,Printed paper book,Length,Copyright,,No Image Associated with this Item;,https://artcrimes.fbi.gov/nsaf/the-fall-of-the-magicians/seal-fbi.jpg/@@images/image/thumb
161,Tabriz Rug,"other,textiles",Fabrics,343,Persian,Wool silk,"13' x 9' 2""",,,rug; flowers,https://artcrimes.fbi.gov/nsaf/tabriz-rug/Tabriz.gif/@@images/image/thumb
162,Clay Statue of Woman Standing and Dressed,Sculpture,Figures,1049,,Clay,8.70 x 4.30 cm,,,sculpture; woman; standing; missing arm,https://artcrimes.fbi.gov/nsaf/clay-statue-of-woman-standing-and-dressed/StandingDressed.gif/@@images/image/thumb
163,Quartz Urn,Sculpture,Figures,361,Andreas von Zadora Gerlof,Arkansas rutilated quartz,"10""",,,,https://artcrimes.fbi.gov/nsaf/quartz-urn/QuartzUrn.gif/@@images/image/thumb
164,Palmyra Funerary Sculpture of a Priest,Sculpture,Figures,,,Limestone,Height,2nd - 3rd Century AD,200,Six lines in Palmyrene on the right side of the priest's head,https://artcrimes.fbi.gov/nsaf/palmyra-funerary-sculpture-of-a-priest-id-20170100576-2/PalmyraFunerarySculpturePriest2.gif/@@images/image/thumb
165,The Willow,Paintings,Physical Art,491,Vincent Van Gogh,,40.50 x 29.50 cm,1885,1885,painting; tree,https://artcrimes.fbi.gov/nsaf/the-willow/Willow.gif/@@images/image/thumb
166,Native American Canteen Jar,Ornamental Ceramic Wares,Containers,205,Native American,ceramic,,13th Century,1215,pot; geometric; Southwest; red; Number 72.1.126/725,https://artcrimes.fbi.gov/nsaf/native-american-canteen-jar/NAB32.gif/@@images/image/thumb
167,Burnt Coral Macchian Set,Sculpture,Figures,872,Dale Chihuly,Glass,11 x 28 in,,,Sculpture,https://artcrimes.fbi.gov/nsaf/burnt-coral-macchian-set/BurntCoralMacchianSet.jpg/@@images/image/thumb
168,Foster Trailed-Incised Vessel,Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,13.00 cm,600 AD,600,pottery; incised design repeating four times; unzoned punctuation on rim,https://artcrimes.fbi.gov/nsaf/foster-trailed-incised-vessel/IncisedVessel.gif/@@images/image/thumb
169,Enlevement de Daphine (Kidnapping of Daphine),Paintings,Physical Art,909,Antoine Coypel; France,Oil on canvas,,,,"painting; mythology; exterior; nude women; nude men; angel; trees; Painting is signed in the lower right, believed to be in red, which is hard to see",https://artcrimes.fbi.gov/nsaf/enlevement-de-daphine-kidnapping-of-daphine/KidnappingDaphine.gif/@@images/image/thumb
170,The Apple Trees; four reminscences,Books,Physical Art,895,Hugh Walpole,Printed paper book,Length,Copyright,,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/the-apple-trees-four-reminscences/seal-fbi.jpg/@@images/image/thumb
171,Paris,Print,Physical Art,963,Adolphe Braun,Paper photograph,Height,1886,1886,No Image Associated with this Item,https://artcrimes.fbi.gov/nsaf/paris/seal-fbi.jpg/@@images/image/thumb
172,The Birth of Jesus,Paintings,Physical Art,695,Anonymous,Oil on canvas,145.00 x 170.00 cm,17th Century,1643,painting; illustration of Virgin Mary showing Jesus as newborn child; side to side rip in lower part of painting,https://artcrimes.fbi.gov/nsaf/the-birth-of-jesus/BirthOfJesus.gif/@@images/image/thumb
173,Woman and Satyr,Print,Physical Art,1015,Erte,,26 3/4 x 18 7/8 in,1980,1980,"serigraph; art deco; woman; satyr; tree; Signed, Number 136/300",https://artcrimes.fbi.gov/nsaf/woman-and-satyr/Woman%20and%20Satyr.gif/@@images/image/thumb
174,Oasis,Print,Physical Art,923,Michael Parkes,Lithograph Print,,Late 90's,1995,Signed lower left; #46/160,https://artcrimes.fbi.gov/nsaf/oasis/00923_picture_11.jpg/@@images/image/thumb
175,"Amethyst Falcon Sculpture, Citrine, Garnet and Obsidian",Sculpture,Figures,911,Zadora Limited,Amethyst; citrine; garnet; gold; obsidian,,20th Century,1959,"sculpture; falcon; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/amethyst-falcon-sculpture-citrine-garnet-and-obsidian/seal-fbi.jpg/@@images/image/thumb
176,Three Musketeers,Paintings,Physical Art,492,Pablo Picasso,Paint on watercolor paper,80.00 x 60.00 cm,1969,1969,"painting; signed Pablo Picasso, dated 2/21/1969",https://artcrimes.fbi.gov/nsaf/three-musketeers/ThreeMusketeers.gif/@@images/image/thumb
177,African Dancer,Paintings,Physical Art,998,Palmer C. Hayden,Watercolor on paper,"13"" x 10.5""",1932,1932,Signed and dated in the lower right,https://artcrimes.fbi.gov/nsaf/african-dancer/AfricanDancer.jpg/@@images/image/thumb
178,The Mather Literature,Books,Physical Art,895,Thomas James Holmes,Printed paper,,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/the-mather-literature/seal-fbi.jpg/@@images/image/thumb
179,Dacian Parade Shield Boss,"other,assorted",Miscellaneous,478,Dacian,Iron,Diameter,1st c. BC to 2nd c. AD,50,,https://artcrimes.fbi.gov/nsaf/dacian-parade-shield-boss-id-300-p-2010-c/DacianParadeShieldBoss2.gif/@@images/image/thumb
180,"Jade Desk Set, Gold, Enamel and Garnet",Other - Assorted,Miscellaneous,911,Zadora Limited,,,20th Century,1977,"No Image Associated with this Item; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/jade-desk-set-gold-enamel-and-garnet/seal-fbi.jpg/@@images/image/thumb
181,Multiple circles and stars done in various colors,Print,Physical Art,1073,Yaacov Agam,Computer technology,"18 x 11 in, frame",20th Century,1981,lithograph; modern art; kinetic art; circles; stars; Signed lower right side; Numbered 115/144,https://artcrimes.fbi.gov/nsaf/multiple-circles-and-stars-done-in-various-colors/seal-fbi.jpg/@@images/image/thumb
